m_avg,f_avg,u18_avg,m_u18_avg,f_u18_avg,18-29_avg,m_18-29_avg,f_18-29_avg,30-44_avg,m_30-44_avg,f_30-44_avg,45+_avg,m_45+_avg,f_45+_avg,top_1000_vot,us_users_avg,non_users_avg,imdb_users_avg,epno,crv-1,crv-2,crv-3,crv-4,crv-5,crv-6,crv-7,crv-8,crv-9,crv-10,sid
4.7,4.4,0.0,0.0,0.0,4.7,5.3,3.9,4.4,4.4,4.5,4.8,4.3,7.0,5.4,4.0,5.1,4.4,0,61,43,64,47,23,12,2,1,1,6,38
6.8,7.9,0.0,0.0,0.0,7.7,7.3,8.5,6.6,6.5,6.7,7.3,6.9,7.6,6.6,6.7,7.3,7.1,21,36,24,41,23,16,5,2,0,0,3,37
6.0,6.4,0.0,0.0,0.0,6.8,6.4,8.0,5.8,5.8,5.6,6.2,6.1,6.2,6.6,6.0,6.2,6.0,20,21,12,33,24,10,4,2,1,1,3,37
7.4,7.5,0.0,0.0,0.0,7.9,7.9,7.8,7.0,7.0,7.2,7.1,7.1,6.6,7.1,7.0,7.6,7.4,19,16,6,8,33,23,11,7,2,2,7,37
6.2,6.8,0.0,0.0,0.0,6.9,6.6,7.3,6.3,6.3,6.1,5.9,5.6,6.6,6.6,6.3,6.6,6.3,18,10,7,15,39,22,10,2,2,1,4,37
7.8,7.5,0.0,0.0,0.0,8.4,8.3,8.4,7.6,7.5,7.4,7.1,7.4,5.5,7.5,7.6,7.8,7.9,17,46,19,26,32,15,7,2,1,2,7,37
8.0,8.9,0.0,0.0,0.0,8.8,8.7,9.1,8.4,8.1,8.9,6.8,6.9,6.5,7.4,7.8,8.4,8.1,16,22,10,14,41,26,8,2,2,1,4,37
6.6,8.2,0.0,0.0,0.0,7.9,7.4,9.2,6.5,6.1,7.6,6.6,6.5,6.6,6.9,6.4,7.2,6.9,15,19,5,12,31,24,24,15,7,2,17,37
6.0,7.2,0.0,0.0,0.0,7.0,7.1,7.5,6.1,5.8,6.9,5.1,4.7,7.0,6.3,6.1,6.4,6.2,14,48,26,51,22,13,4,2,1,0,5,37
6.1,6.4,0.0,0.0,0.0,7.2,7.4,7.2,5.9,5.9,6.0,6.0,5.4,7.7,6.4,6.1,6.4,6.3,13,35,16,40,36,16,10,3,1,1,4,37
7.4,8.4,0.0,0.0,0.0,7.9,7.7,8.9,7.3,7.1,8.0,7.4,7.5,7.1,7.5,7.1,7.9,7.4,12,14,1,16,29,36,14,8,5,1,7,37
6.6,7.1,0.0,0.0,0.0,7.8,8.0,7.7,6.4,5.9,7.3,6.3,5.9,7.0,7.6,6.4,7.1,6.8,11,28,15,19,35,39,11,5,4,3,8,37
6.4,6.9,0.0,0.0,0.0,6.9,6.9,7.1,6.3,5.9,7.7,5.5,5.8,4.7,6.9,6.3,6.5,6.4,10,14,3,7,19,36,15,11,2,4,9,37
6.1,7.7,0.0,0.0,0.0,7.0,7.2,7.3,6.0,5.7,7.4,6.7,5.9,9.0,7.2,6.7,6.1,6.3,9,87,53,48,23,7,4,2,1,1,10,37
5.9,6.4,0.0,0.0,0.0,6.6,6.9,6.7,6.0,6.0,6.2,5.6,5.2,7.0,6.5,5.9,6.2,5.9,8,31,12,27,41,23,9,2,1,1,6,37
7.3,7.4,0.0,0.0,0.0,8.1,7.9,9.3,7.0,7.1,6.2,6.6,6.9,5.2,6.8,7.2,7.3,7.3,7,16,6,19,27,26,12,2,0,0,6,37
6.1,8.0,0.0,0.0,0.0,7.3,7.0,8.2,6.4,6.2,7.3,5.5,4.1,8.3,6.6,6.5,6.5,6.4,6,37,15,32,37,14,4,2,1,0,7,37
7.6,8.0,0.0,0.0,0.0,8.6,8.3,9.0,7.4,7.3,7.5,7.1,7.1,7.0,7.5,7.4,8.1,7.7,5,33,15,28,40,21,3,4,1,3,7,37
6.8,7.6,0.0,0.0,0.0,7.8,7.2,8.7,6.6,6.5,7.2,6.1,6.5,4.7,6.9,7.0,6.8,7.1,4,30,9,25,35,25,11,2,1,1,3,37
7.2,8.3,0.0,0.0,0.0,8.5,8.3,8.8,7.2,7.0,8.0,6.7,6.6,6.8,7.3,7.2,7.7,7.6,3,13,3,11,25,50,14,7,4,4,9,37
7.5,8.3,0.0,0.0,0.0,8.2,7.9,9.0,7.5,7.3,8.0,7.5,7.6,6.6,7.4,7.5,7.6,7.7,2,28,9,28,42,19,10,4,0,0,3,37
7.7,7.4,0.0,0.0,0.0,8.1,7.8,8.9,7.9,8.1,7.0,6.6,6.8,5.8,7.4,7.6,7.7,7.7,1,41,21,34,35,14,10,2,3,3,7,37
6.1,7.5,0.0,0.0,0.0,7.4,7.0,8.2,6.3,6.2,6.7,5.9,5.3,8.5,6.5,6.3,6.6,6.5,0,26,16,44,39,14,9,2,2,1,9,37
6.6,6.8,0.0,0.0,0.0,7.0,7.0,6.9,6.6,6.5,6.8,6.3,6.4,6.0,6.8,6.4,6.8,6.7,21,90,50,43,18,4,6,4,2,1,12,36
5.6,6.8,0.0,0.0,0.0,6.9,6.6,7.7,5.3,5.1,5.7,5.9,5.5,6.8,6.2,6.2,5.5,5.9,20,6,8,11,13,24,12,7,3,2,8,36
7.5,7.9,0.0,0.0,0.0,8.0,7.9,7.9,7.8,7.5,8.9,6.5,6.9,4.8,7.3,7.3,8.0,7.8,19,20,8,18,35,14,9,1,1,1,9,36
7.1,7.8,0.0,0.0,0.0,8.1,8.0,8.8,6.7,6.6,7.3,6.1,6.2,6.0,7.2,7.0,7.4,7.0,18,10,5,13,22,20,8,4,4,3,4,36
8.1,8.0,0.0,0.0,0.0,8.7,8.5,9.5,7.7,7.8,6.7,7.8,8.2,7.0,8.2,7.5,8.6,8.0,17,9,6,8,23,23,13,7,2,2,5,36
6.5,6.7,0.0,0.0,0.0,7.6,7.9,7.3,6.0,5.9,7.0,5.9,6.3,5.0,6.7,6.7,6.1,6.7,16,16,16,28,31,17,8,2,1,1,7,36
7.7,7.8,0.0,0.0,0.0,8.4,8.3,8.9,7.2,7.3,6.3,7.3,7.5,6.5,7.7,7.4,7.9,7.7,15,15,5,12,34,22,15,4,3,3,10,36
