impid,aid,imp_name
3521,James Franco,Riff Raff
3522,Nicki Minaj,Beyoncé
3049,Taran Killam,Eminem
3523,Nicki Minaj,Kim Kardashian
3524,Beck Bennett,Ashley Parker Angel
3527,Taran Killam,Darren Hayes
3526,Kyle Mooney,Chris Kirkpatrick
3525,Bobby Moynihan,Lance Ito
2941,Jay Pharoah,Will Smith
3516,Jay Pharoah,"Jamie Foxx , Daddy Warbucks"
3517,Cecily Strong,Star Burton
3518,Taran Killam,Charles Manson
3502,Taran Killam,Mitch McConnell
3503,Woody Harrelson,James Taylor
2956,Vanessa Bayer,Miley Cyrus
3505,Beck Bennett,Elton John
3504,Aidy Bryant,Meghan Trainor
3511,Leslie Jones,Aretha Franklin
3514,Taran Killam,David Crosby
3513,Taran Killam,Barry Manilow
3507,Kate McKinnon,Robyn
3422,Kate McKinnon,Lorde
3510,Kyle Mooney,Stephen Stills
3509,Kyle Mooney,Macklemore
3229,Bobby Moynihan,Psy
3432,Jay Pharoah,2 Chainz
3506,Cecily Strong,Ariana Grande
3167,Kenan Thompson,B.B. King
3508,Kenan Thompson,Lionel Richie
3452,Taran Killam,Matthew McConaughey
3498,Kate McKinnon,Kaci Hickox
3411,Cecily Strong,Megyn Kelly
3273,Jay Pharoah,Katt Williams
3499,Kenan Thompson,"Marion ""Suge"" Knight"
3500,Beck Bennett,Kevin O'Leary
3501,Taran Killam,Mark Cuban
3307,Kate McKinnon,Barbara Corcoran
3308,Kenan Thompson,Daymond John
3495,Taran Killam,Ron Klain
3496,Jim Carrey,Matthew McConaughey
3497,Kenan Thompson,Dennis Haysbert
3304,Bobby Moynihan,Kim Jong-un
2417,Bill Hader,Al Pacino
2742,Kristen Wiig,Kathie Lee Gifford
3345,Taran Killam,Christoph Waltz
3190,Jay Pharoah,Morgan Freeman
3484,Beck Bennett,Steve Kroft
3486,Sarah Silverman,Joan Rivers
3487,Adam Levine,Freddie Mercury
3490,Kate McKinnon,Lucille Ball
3491,Kyle Mooney,Steve Jobs
3489,Jay Pharoah,Richard Pryor
3488,Cecily Strong,Ava Gardner
3481,Chris Pratt,Roger Goodell
3262,Aidy Bryant,Candy Crowley
3289,Jay Pharoah,Shannon Sharpe
3219,Kenan Thompson,Ray Lewis
3482,Beck Bennett,Jim Nantz
3483,Taran Killam,Phil Simms
2257,Maya Rudolph,Beyoncé
3480,Sasheer Zamata,Solange Knowles
2841,Andy Samberg,Nicolas Cage
3129,Taran Killam,Bruce Jenner
2855,Nasim Pedrad,Kim Kardashian
1855,Maya Rudolph,Oprah Winfrey
3014,Vanessa Bayer,Hillary Clinton
3472,Taran Killam,Adam Silver
3470,Bobby Moynihan,Donald Sterling
3303,Jay Pharoah,Dennis Rodman
3471,Kenan Thompson,Leon Jenkins
3473,Andrew Garfield,Justin Timberlake
3381,Aidy Bryant,Adele
3477,Taran Killam,Russell Crowe
3314,Kate McKinnon,Shakira
3475,Kyle Mooney,Skrillex
3476,Nasim Pedrad,Bruno Mars
3405,Noel Wells,Reba McEntire
3478,Taran Killam,Marc Webb
3468,Nasim Pedrad,Bobby Jindal
3467,Brooks Wheelan,Rand Paul
3463,Taran Killam,Tim Murphy
3461,Kate McKinnon,Mary Barra
3459,Bobby Moynihan,Joe Barton
3462,Mike O'Brien,Fred Upton
3460,Cecily Strong,Diana DeGette
3457,Brooks Wheelan,Harry Styles
3238,Jay Pharoah,Stephen A. Smith
3451,Taran Killam,"Adam Driver , Adam"
3453,Lena Dunham,Liza Minnelli
3456,Taran Killam,Harrison Ford
3455,Noel Wells,Lena Dunham
3454,Brooks Wheelan,Jared Leto
3444,Jim Parsons,Johnny Weir
3270,Vanessa Bayer,Sophia Grace Brownlee
3239,Kate McKinnon,Ellen DeGeneres
3269,Nasim Pedrad,Rosie Grace McClelland
3445,Jay Pharoah,Barkhad Abdi
